date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:04:42	186/186	---MCZ	404	error ('Not%20Found')	application/xml	date:Mon,%2017%20Apr%202023%2012:05:31%20GMT	https://compound.finance/robots.txt		(from )
14:04:42	1627/1627	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Apr%202023%2018:37:44%20GMT	https://compound.finance/	C:/My%20Web%20Sites/clone%20pro/compound.finance/index.html	(from )
14:04:42	4999/4999	---M--	200	added ('OK')	image/png	etag:%224a19f5b75daa5c2c2f72a28077b4b907%22	https://compound.finance/images/compound-192.png	C:/My%20Web%20Sites/clone%20pro/compound.finance/images/compound-192.png	(from https://compound.finance/)
14:04:42	314953/314953	---M--	200	added ('OK')	image/png	etag:%220752d5a6bd162c439a1f9189f74980cf%22	https://compound.finance/images/meta-tag.png	C:/My%20Web%20Sites/clone%20pro/compound.finance/images/meta-tag.png	(from https://compound.finance/)
14:04:43	14918/14918	---M--	200	added ('OK')	image/png	etag:%22d3157172d36f38f1e34eb241d28e34e7%22	https://compound.finance/images/compound-512.png	C:/My%20Web%20Sites/clone%20pro/compound.finance/images/compound-512.png	(from https://compound.finance/)
14:04:43	396/396	---MCZ	200	added ('OK')	application/json	etag:W/%2253c9acb85dae26d55e6a68705f88f8b0%22	https://compound.finance/manifest.json	C:/My%20Web%20Sites/clone%20pro/compound.finance/manifest.json	(from https://compound.finance/)
14:04:44	15406/15406	---MCZ	200	added ('OK')	image/x-icon	etag:W/%224af50c96ded8d36316fb8289b612dcec%22	https://compound.finance/favicon.ico	C:/My%20Web%20Sites/clone%20pro/compound.finance/favicon.ico	(from https://compound.finance/)
14:04:44	478779/478779	---MCZ	200	added ('OK')	text/css	etag:W/%226ff53593988a38d298254c579d50b37e%22	https://compound.finance/static/css/landing.dddaad77.chunk.css	C:/My%20Web%20Sites/clone%20pro/compound.finance/static/css/landing.dddaad77.chunk.css	(from https://compound.finance/)
14:04:44	1548/1548	---MCZ	200	added ('OK')	text/javascript	etag:W/%22e9a7d452be4c90b79856bc6f3649b2ac%22	https://compound.finance/static/js/runtime~landing.b9fc3f3d.js	C:/My%20Web%20Sites/clone%20pro/compound.finance/static/js/runtime_landing.b9fc3f3d.js	(from https://compound.finance/)
14:04:44	17518/17518	---MCZ	200	added ('OK')	text/javascript	etag:W/%220f08217f2839fa305fed30da2347f9b3%22	https://compound.finance/static/js/vendors~landing~polyfills.13d89610.chunk.js	C:/My%20Web%20Sites/clone%20pro/compound.finance/static/js/vendors_landing_polyfills.13d89610.chunk.js	(from https://compound.finance/)
14:04:44	42404/42404	---MCZ	200	added ('OK')	text/javascript	etag:W/%2295a9b587fb070383ca7b61d9a275b9e6%22	https://compound.finance/static/js/vendors~landing.5bf2421a.chunk.js	C:/My%20Web%20Sites/clone%20pro/compound.finance/static/js/vendors_landing.5bf2421a.chunk.js	(from https://compound.finance/)
14:04:46	2836816/2836816	---MCZ	200	added ('OK')	text/javascript	etag:W/%224e336b88dd5b2b7fade6ce41ebf4526d%22	https://compound.finance/static/js/landing.b1bb475c.chunk.js	C:/My%20Web%20Sites/clone%20pro/compound.finance/static/js/landing.b1bb475c.chunk.js	(from https://compound.finance/)
14:04:46	473/473	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22af6e4f1eee9973b20e2950b612840e40%22	https://compound.finance/compound-components/assets/icn-ledger-error-no-bkg.svg	C:/My%20Web%20Sites/clone%20pro/compound.finance/compound-components/assets/icn-ledger-error-no-bkg.svg	(from https://compound.finance/static/css/landing.dddaad77.chunk.css)
14:04:46	267/267	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2226f6827f1fc35025fd57a7d226279561%22	https://compound.finance/compound-components/assets/icn-arrow-back-dark.svg	C:/My%20Web%20Sites/clone%20pro/compound.finance/compound-components/assets/icn-arrow-back-dark.svg	(from https://compound.finance/static/css/landing.dddaad77.chunk.css)
